player_name,p_throws,games,hits_total,pa_total,bb_total,rbi_total,hit_rate_per_pa,bb_rate_per_pa,rbi_rate_per_pa,avg_pa_game,prob_hit_game,prob_bb_game,prob_rbi_game
Alex Call,L,22,8,36,2,4,0.2222222222222222,0.05555555555555555,0.1111111111111111,1.6363636363636365,0.3371733537793967,0.08929108011568743,0.17530023205883682
Alex Call,R,19,10,40,8,1,0.25,0.2,0.025,2.1052631578947367,0.45427847909374464,0.37485765145313876,0.05190507358216556
Alex Freeland,L,9,2,14,2,0,0.14285714285714285,0.14285714285714285,0.0,1.5555555555555556,0.21320688756254713,0.21320688756254713,0.0
Alex Freeland,R,28,14,71,9,6,0.19718309859154928,0.1267605633802817,0.08450704225352113,2.5357142857142856,0.42702626551730516,0.2908616520737781,0.20059279941790964
Andy Pages,L,86,46,149,6,17,0.3087248322147651,0.040268456375838924,0.11409395973154363,1.7325581395348837,0.4725443373779423,0.0687346654169001,0.18932633148068
Andy Pages,R,152,113,447,24,75,0.25279642058165547,0.053691275167785234,0.16778523489932887,2.9407894736842106,0.575565598056422,0.14980677345962834,0.4173212857861073
Ben Rortvedt,L,10,3,15,2,1,0.2,0.13333333333333333,0.06666666666666667,1.5,0.2844582472000672,0.19317724191557228,0.09831433579265714
Ben Rortvedt,R,16,8,37,2,3,0.21621621621621623,0.05405405405405406,0.08108108108108109,2.3125,0.4307161241244113,0.12059108157250509,0.1776086972728924
Dalton Rushing,L,25,6,37,3,6,0.16216216216216217,0.08108108108108109,0.16216216216216217,1.48,0.23037927319601326,0.11763099220154283,0.23037927319601326
Dalton Rushing,R,47,23,107,7,19,0.21495327102803738,0.06542056074766354,0.17757009345794392,2.276595744680851,0.4236058536546973,0.14275488936907055,0.35921180188040636
Enrique Hernandez,L,61,19,100,10,22,0.19,0.1,0.22,1.639344262295082,0.2920942485936916,0.15862864833278978,0.3345645920395294
Enrique Hernandez,R,69,29,143,9,14,0.20279720279720279,0.06293706293706294,0.0979020979020979,2.072463768115942,0.3748202059268233,0.1260395495640515,0.19227252043852205
Esteury Ruiz,L,10,3,17,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941,1.7,0.28112315651559916,0.09792882774014622,0.19166390114597975
Esteury Ruiz,R,3,1,4,1,0,0.25,0.25,0.0,1.3333333333333333,0.31857977768794765,0.31857977768794765,0.0
Freddie Freeman,L,97,45,162,13,19,0.2777777777777778,0.08024691358024691,0.11728395061728394,1.6701030927835052,0.41928138874454735,0.13038454659100973,0.18807573128931676
Freddie Freeman,R,142,119,408,40,75,0.2916666666666667,0.09803921568627451,0.18382352941176472,2.8732394366197185,0.6287238986078825,0.25656431272418967,0.442128067079231
Hyeseong Kim,L,18,8,21,0,3,0.38095238095238093,0.0,0.14285714285714285,1.1666666666666667,0.4285063614596414,0.0,0.164598189585494
Hyeseong Kim,R,56,37,141,7,14,0.2624113475177305,0.04964539007092199,0.09929078014184398,2.517857142857143,0.5352973957017167,0.12033094261624555,0.23148821518809626
Justin Dean,R,2,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Max Muncy,L,52,12,73,7,10,0.1643835616438356,0.0958904109589041,0.136986301369863,1.4038461538461537,0.2228411594561721,0.1319572280988287,0.1868349968946157
Max Muncy,R,99,67,250,57,58,0.268,0.228,0.232,2.525252525252525,0.5451624984102859,0.4797581278296341,0.486538208927091
Michael Conforto,L,48,16,66,9,2,0.24242424242424243,0.13636363636363635,0.030303030303030304,1.375,0.31732995844749046,0.18256163783273405,0.041428410958968764
Michael Conforto,R,136,67,363,49,34,0.18457300275482094,0.1349862258953168,0.09366391184573003,2.6691176470588234,0.41993539062148644,0.32094173510575386,0.23086948069954827
Miguel Rojas,L,72,36,122,12,16,0.29508196721311475,0.09836065573770492,0.13114754098360656,1.6944444444444444,0.4470583179746851,0.16091555517485612,0.2119614785413121
Miguel Rojas,R,85,41,177,11,12,0.23163841807909605,0.062146892655367235,0.06779661016949153,2.0823529411764707,0.42229346796842715,0.12506686549446633,0.13600650965670347
Mookie Betts,L,92,43,169,15,21,0.25443786982248523,0.08875739644970414,0.1242603550295858,1.8369565217391304,0.41687943343302547,0.15695755098493736,0.21630802387919956
Mookie Betts,R,146,109,434,44,62,0.2511520737327189,0.10138248847926268,0.14285714285714285,2.9726027397260273,0.576725442105186,0.2722259706534018,0.3675971918457972
Shohei Ohtani,L,114,62,223,21,34,0.27802690582959644,0.09417040358744394,0.15246636771300448,1.956140350877193,0.47125381765956176,0.17590564747201198,0.2764560880911302
Shohei Ohtani,R,143,111,397,69,69,0.2795969773299748,0.17380352644836272,0.17380352644836272,2.7762237762237763,0.5976557584470374,0.41142096502013037,0.41142096502013037
Teoscar Hernandez,L,59,31,122,5,20,0.2540983606557377,0.040983606557377046,0.16393442622950818,2.0677966101694913,0.4545796160496396,0.08289316817821768,0.30942819801787613
Teoscar Hernandez,R,134,97,403,21,74,0.24069478908188585,0.052109181141439205,0.18362282878411912,3.0074626865671643,0.5631254699158624,0.14866300741418015,0.4567308743717833
Tommy Edman,L,61,26,118,4,19,0.22033898305084745,0.03389830508474576,0.16101694915254236,1.9344262295081966,0.3821261957035119,0.06453445409200553,0.2879570913610814
Tommy Edman,R,95,54,242,15,32,0.2231404958677686,0.06198347107438017,0.1322314049586777,2.5473684210526315,0.47439207501513203,0.1504090396283413,0.30322571672002263
Will Smith,L,55,24,93,18,10,0.25806451612903225,0.1935483870967742,0.10752688172043011,1.690909090909091,0.3963281406639769,0.30492379180689877,0.17498683353332367
Will Smith,R,106,84,280,45,53,0.3,0.16071428571428573,0.18928571428571428,2.641509433962264,0.6102150995318116,0.3704835248445538,0.4255218670759845
