player_name,hits,pa,bb,rbis,contact_rate,discipline_rate,power_rate,cluster
Alex Call,18,76,10,5,0.23684210526315788,0.11627906976744186,0.06578947368421052,0
Alex Freeland,16,85,11,6,0.18823529411764706,0.11458333333333333,0.07058823529411765,0
Andy Pages,159,596,30,92,0.26677852348993286,0.04792332268370607,0.15436241610738255,2
Ben Rortvedt,11,52,4,4,0.21153846153846154,0.07142857142857142,0.07692307692307693,0
Dalton Rushing,29,144,10,25,0.2013888888888889,0.06493506493506493,0.1736111111111111,2
Enrique Hernandez,48,243,19,36,0.19753086419753085,0.07251908396946564,0.14814814814814814,2
Esteury Ruiz,4,21,2,2,0.19047619047619047,0.08695652173913043,0.09523809523809523,0
Freddie Freeman,164,570,53,94,0.28771929824561404,0.08507223113964688,0.1649122807017544,1
Hyeseong Kim,45,162,7,17,0.2777777777777778,0.04142011834319527,0.10493827160493827,2
Justin Dean,0,2,0,0,0.0,0.0,0.0,0
Max Muncy,79,323,64,68,0.24458204334365324,0.165374677002584,0.21052631578947367,1
Michael Conforto,83,429,58,36,0.19347319347319347,0.11909650924024641,0.08391608391608392,0
Miguel Rojas,77,299,23,28,0.25752508361204013,0.07142857142857142,0.09364548494983277,2
Mookie Betts,152,603,59,83,0.25207296849087896,0.0891238670694864,0.13764510779436154,2
Shohei Ohtani,173,620,90,103,0.27903225806451615,0.1267605633802817,0.16612903225806452,1
Teoscar Hernandez,128,525,26,94,0.2438095238095238,0.047186932849364795,0.17904761904761904,2
Tommy Edman,80,360,19,51,0.2222222222222222,0.05013192612137203,0.14166666666666666,2
Will Smith,108,373,63,63,0.289544235924933,0.1444954128440367,0.16890080428954424,1
