batter,pitch_name,num_turns,total_hits,avg_batting,total_strikeouts,avg_strikeouts,avg_balls,avg_strikes,avg_speed,min_speed,max_speed,std_speed
Alex Call,4-Seam Fastball,64,7,0.109375,9,0.140625,2.609375,2.40625,93.71160342261905,85.94999999999999,98.86666666666667,2.6143828668070737
Alex Call,Changeup,16,1,0.0625,0,0.0,0.9375,1.875,85.58854166666667,76.9,89.0,3.8455588562218956
Alex Call,Curveball,15,2,0.13333333333333333,0,0.0,1.2,2.0,79.05555555555556,73.2,85.9,4.57258335282349
Alex Call,Cutter,22,0,0.0,3,0.13636363636363635,1.5454545454545454,1.3636363636363635,89.375,86.2,93.2,2.630266196518951
Alex Call,Knuckle Curve,9,1,0.1111111111111111,1,0.1111111111111111,1.4444444444444444,1.1111111111111112,82.41666666666667,76.15,86.7,3.993119081620287
Alex Call,Sinker,37,3,0.08108108108108109,3,0.08108108108108109,1.6756756756756757,1.4594594594594594,94.31824324324324,84.8,98.3,3.093330164079484
Alex Call,Slider,34,4,0.11764705882352941,1,0.029411764705882353,1.1764705882352942,1.2941176470588236,86.82598039215686,78.5,93.9,3.4004411260093494
Alex Call,Slurve,2,0,0.0,0,0.0,1.0,1.5,80.65,80.5,80.8,0.21213203435596728
Alex Call,Split-Finger,2,0,0.0,0,0.0,0.5,1.0,84.75,84.5,85.0,0.3535533905932738
Alex Call,Sweeper,10,0,0.0,2,0.2,1.6,2.3,83.17833333333333,76.7,87.0,3.1281680238096508
Alex Freeland,4-Seam Fastball,76,3,0.039473684210526314,10,0.13157894736842105,2.263157894736842,1.618421052631579,95.18565789473683,86.4,100.63333333333333,2.8341019752027137
Alex Freeland,Changeup,32,1,0.03125,5,0.15625,1.625,1.84375,85.88854166666667,77.95,91.7,4.037031623353598
Alex Freeland,Curveball,22,0,0.0,3,0.13636363636363635,1.0909090909090908,1.1363636363636365,79.38939393939394,71.4,85.1,4.031809844287131
Alex Freeland,Cutter,21,2,0.09523809523809523,2,0.09523809523809523,0.8095238095238095,1.0952380952380953,90.67619047619048,86.2,94.6,1.9713966526056488
Alex Freeland,Knuckle Curve,6,0,0.0,2,0.3333333333333333,1.1666666666666667,1.3333333333333333,84.55,81.9,87.4,2.057911562725668
Alex Freeland,Sinker,31,6,0.1935483870967742,4,0.12903225806451613,2.0,1.096774193548387,94.98709677419355,85.1,99.5,3.628209204423487
Alex Freeland,Slider,33,1,0.030303030303030304,4,0.12121212121212122,2.0303030303030303,1.5151515151515151,87.56212121212121,80.6,92.7,3.178659507186366
Alex Freeland,Slurve,2,0,0.0,0,0.0,1.0,1.0,86.275,85.85,86.7,0.6010407640085664
Alex Freeland,Split-Finger,14,0,0.0,4,0.2857142857142857,1.8571428571428572,2.2142857142857144,88.3952380952381,83.0,94.1,3.5951440930873817
Alex Freeland,Sweeper,11,3,0.2727272727272727,1,0.09090909090909091,1.8181818181818181,1.5454545454545454,82.05454545454546,80.2,86.5,1.6311735875520061
Andy Pages,4-Seam Fastball,378,47,0.12433862433862433,50,0.13227513227513227,1.791005291005291,1.843915343915344,94.85639329805997,87.95,102.1,2.506081682837042
Andy Pages,Changeup,123,10,0.08130081300813008,12,0.0975609756097561,1.1869918699186992,1.6016260162601625,86.15433604336043,76.1,94.8,4.108677252809254
Andy Pages,Curveball,116,14,0.1206896551724138,7,0.0603448275862069,0.9827586206896551,1.2844827586206897,79.85977011494253,69.69999999999999,89.5,3.90442154224458
Andy Pages,Cutter,123,8,0.06504065040650407,5,0.04065040650406504,1.056910569105691,1.089430894308943,89.74149051490515,82.23333333333333,99.1,2.8784054734885975
Andy Pages,Forkball,1,0,0.0,0,0.0,2.0,2.0,83.2,83.2,83.2,
Andy Pages,Knuckle Curve,32,2,0.0625,7,0.21875,0.84375,1.5625,84.290625,76.2,89.4,3.363071479464222
Andy Pages,Other,2,1,0.5,0,0.0,0.0,0.0,54.65,49.3,60.0,7.5660425586960605
Andy Pages,Sinker,259,28,0.10810810810810811,21,0.08108108108108109,1.505791505791506,1.5096525096525097,94.10574646074646,83.9,99.9,2.7039512671790553
Andy Pages,Slider,262,32,0.12213740458015267,19,0.07251908396946564,1.1259541984732824,1.450381679389313,86.64117048346057,37.3,96.1,4.164100945398383
Andy Pages,Slow Curve,1,0,0.0,1,1.0,1.0,2.0,67.2,67.2,67.2,
Andy Pages,Slurve,5,1,0.2,1,0.2,0.4,1.2,81.34,79.7,84.1,1.6890825912311054
Andy Pages,Split-Finger,31,3,0.0967741935483871,3,0.0967741935483871,1.0,1.8709677419354838,86.53870967741935,77.5,99.4,4.865057548090932
Andy Pages,Sweeper,134,13,0.09701492537313433,10,0.07462686567164178,1.1567164179104477,1.3507462686567164,83.1239054726368,67.7,88.1,2.994576642731468
Ben Rortvedt,4-Seam Fastball,42,3,0.07142857142857142,2,0.047619047619047616,1.619047619047619,1.9523809523809523,95.26714285714286,91.65,100.2,2.1494749559229906
Ben Rortvedt,Changeup,11,1,0.09090909090909091,0,0.0,1.0,1.4545454545454546,87.64545454545454,84.8,90.0,1.7868204366212266
Ben Rortvedt,Curveball,12,2,0.16666666666666666,1,0.08333333333333333,1.0833333333333333,1.75,81.68333333333334,78.0,85.2,2.330658640163698
Ben Rortvedt,Cutter,5,2,0.4,0,0.0,1.8,1.6,90.82000000000001,89.9,91.39999999999999,0.6220932405998258
Ben Rortvedt,Knuckle Curve,4,0,0.0,1,0.25,0.75,1.75,84.4125,83.65,85.1,0.6980627956471123
Ben Rortvedt,Sinker,23,0,0.0,0,0.0,1.0434782608695652,1.2173913043478262,94.32717391304348,89.025,98.6,2.528596819872703
Ben Rortvedt,Slider,14,1,0.07142857142857142,1,0.07142857142857142,0.8571428571428571,2.2857142857142856,86.73988095238096,82.5,91.0,2.11558163834397
Ben Rortvedt,Split-Finger,6,0,0.0,2,0.3333333333333333,1.3333333333333333,2.1666666666666665,89.05833333333334,83.69999999999999,91.1,2.8692188251624704
Ben Rortvedt,Sweeper,11,2,0.18181818181818182,2,0.18181818181818182,0.9090909090909091,1.2727272727272727,85.40454545454544,82.9,88.1,1.8283734560940976
Dalton Rushing,4-Seam Fastball,89,9,0.10112359550561797,11,0.12359550561797752,1.9325842696629214,1.5280898876404494,95.00110486891386,88.5,100.6,2.715426677689501
Dalton Rushing,Changeup,41,1,0.024390243902439025,12,0.2926829268292683,1.0975609756097562,1.5365853658536586,86.15691056910569,77.9,94.4,3.8898317865832235
Dalton Rushing,Curveball,52,2,0.038461538461538464,12,0.23076923076923078,1.2115384615384615,1.5769230769230769,81.26794871794871,76.73333333333333,89.3,3.001489909900713
