cluster,count,mean_release_speed,mean_balls,mean_strikes
0,1387,85.83453496755588,0.0,1.0
1,1174,95.2239352640545,0.5843270868824532,2.0
2,1185,90.47426160337552,0.329957805907173,0.3392405063291139
3,1833,85.00960174577196,2.3807965084560827,1.9203491543917075
4,1615,94.1466253869969,0.28173374613003094,0.0
5,1235,76.86809716599191,0.3603238866396761,0.3643724696356275
6,1613,94.90130192188468,0.46931184128952264,1.0
7,1970,93.8984263959391,2.3411167512690354,0.5705583756345177
8,2286,84.98836395450569,0.5901137357830272,2.0
9,1196,94.57182274247491,0.5100334448160535,1.334448160535117
10,2768,85.65252890173412,0.30238439306358383,0.0
11,2778,94.71583873290137,0.265658747300216,0.0
12,1720,94.87005813953489,2.4238372093023255,2.0
13,2001,85.26641679160419,1.421289355322339,0.889055472263868
